Order Date,City,Category,Sub-Category,Product Name,Sales,Quantity
2016-11-08,Henderson,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2
2016-11-08,Henderson,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.9399999999999,3
2016-06-12,Los Angeles,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2
2015-10-11,Fort Lauderdale,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5
2015-10-11,Fort Lauderdale,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2
2014-06-09,Los Angeles,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7
2014-06-09,Los Angeles,Office Supplies,Art,Newell 322,7.28,4
2014-06-09,Los Angeles,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6
2014-06-09,Los Angeles,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3
2014-06-09,Los Angeles,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5
2014-06-09,Los Angeles,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.1840000000002,9
2014-06-09,Los Angeles,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4
2017-04-15,Concord,Office Supplies,Paper,Xerox 1967,15.552000000000003,3
2016-12-05,Seattle,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.97600000000006,3
2015-11-22,Fort Worth,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.80999999999999,5
2015-11-22,Fort Worth,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3
2014-11-11,Madison,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6
2014-05-13,West Jordan,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2
